Training1  	Training2  	Test 
4,245075 	4,142065 	4,254755 
4,318513 	4,107804 	4,088379 
4,215896 	4,116853 	4,075683 
4,200441 	4,238787 	3,907713 
4,461996 	4,818165 	4,088676 
5,671525 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
6 	6 	6 
